assessment,farm_type,stage,process,input,drop_down,emission_factor,unit,reference_year,min,max,avg,step_value,unit
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoy rope,PET fibers,4.67,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoy rope,RPET fibers,0.98,kg CO2/kg,,10,50,21.5,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoy rope,nylon 66,8.04,kg CO2/kg,2015,10,50,21.5,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoy weights,none,0.0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoy weights,steel,2.5,kg CO2/kg,2007,10,144,77,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoy weights,chromium steel,4.2,kg CO2/kg,2015,10,144,77,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,monitoring,fuel for monitoring,none,0.0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,monitoring,fuel for monitoring,US diesel,3.2,kg CO2/l,2013,0.8,1.2,1,0.01,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,monitoring,fuel for monitoring,US gasoline,3.0,kg CO2/l,2013,0.8,1.2,1,0.01,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,harvest,fuel for harvest vessel,none,0.0,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,harvest,fuel for harvest vessel,US diesel,3.2,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,harvest,fuel for harvest vessel,US gasoline,3.0,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,harvest,fuel for harvest equipment,none,0.0,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,harvest,fuel for harvest equipment,US diesel,3.2,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,harvest,fuel for harvest equipment,US gasoline,3.0,kg CO2/l,2013,5,10,7.5,0.1,liter
